"filename", "language", "TypeScript", "JSON", "JSON with Comments", "vue", "SCSS", "XML", "Markdown", "CSS", "JavaScript", "HTML", "YAML", "comment", "blank", "total"
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\.prettierrc.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 9, 13, 225
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\block-navigation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 7, 15, 88
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\composables\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 16, 146
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\composables\useApprovalDetail.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 920, 0, 0, 14, 934
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\composables\useApprovalList.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 556, 0, 0, 15, 571
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\composables\useFileUpload.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1046, 0, 0, 14, 1060
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\coverage-report-P6-P7-P8.md", "Markdown", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 26, 119
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 16, 146
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 9, 13, 225
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\block-navigation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 7, 15, 88
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\composables\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 16, 146
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\composables\useApprovalDetail.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 920, 0, 0, 14, 934
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\composables\useApprovalList.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 556, 0, 0, 15, 571
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\composables\useFileUpload.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1046, 0, 0, 14, 1060
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 16, 146
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\prettify.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\prettify.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 3
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\sorter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 21, 19, 211
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\stores\approval.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 362, 0, 0, 14, 376
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\stores\file.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 368, 0, 0, 14, 382
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\stores\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 15, 131
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\utils\file.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 14, 160
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\utils\format.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 14, 226
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\utils\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 17, 161
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\utils\storage.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 14, 157
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\utils\validate.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 14, 151
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\prettify.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\prettify.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 3
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\sorter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 21, 19, 211
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\stores\approval.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 362, 0, 0, 14, 376
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\stores\file.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 368, 0, 0, 14, 382
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\stores\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 15, 131
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\utils\file.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 14, 160
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\utils\format.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 14, 226
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\utils\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 17, 161
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\utils\storage.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 14, 157
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\utils\validate.ts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 14, 151
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\eslint.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\package.json", "JSON", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4289, 0, 1206, 5495
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\1.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\10.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\11.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\12.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\13.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\14.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\15.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\16.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\17.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\18.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\19.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\2.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\20.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\21.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\22.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\23.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\24.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\25.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\26.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\27.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\28.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\3.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\4.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\5.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\6.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\7.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
